American Graffiti, 1973, Universal Pictures, 15, 97, 73, 7.4, ['Bo Hopkins', 'Candy Clark', 'Charles Martin Smith', 'Cindy Williams', 'Mackenzie Phillips', 'Manuel Padilla Jr.', 'Paul Le Mat', 'Richard Dreyfuss', 'Ron Howard', 'Wolfman Jack'], [], A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college., George Lucas, ['Drama', 'Comedy'],  PG,  110
Dumbo, 1941, RKO Radio Pictures, 11, 96, 118, 7.7, ['Billy Bletcher', 'Cliff Edwards', 'Eddie Holden', 'Edward Brophy', 'Herman Bing', 'James Baskett', 'Jim Carmichael', 'Noreen Gammill', 'Sterling Holloway', 'Verna Felton'], [], This simple animated tale is set in a circus and spotlights a baby elephant, Dumbo, who is mocked and ridiculed because his ears are too big, only to be assisted by a mouse to achieve his full potential., Ben Sharpsteen, ['Drama', 'Animation', 'Family', 'Musical'],  Approved,  64
Roma, 2018, Netflix, 50, 96, 804, 7.6, ['Andy Cortés', 'Carlos Peralta', 'Daniela Demesa', 'Diego Cortina Autrey', 'Fernando Grediaga', 'Marco Graf', 'Marina de Tavira', 'Nancy García García', 'Verónica García', 'Yalitza Aparicio'], ['Nominated for 10 Academy Awards including Best Picture. Named best picture of 2018 by the New York Film Critics Circle, Chicago Film Critics Association, London Critics Circle, Online Film Critics Society, and the Washington, D.C. Area Film Critics Association. Winner of the Golden Lion at the 2018 Venice Film Festival. More awards and nominations'], Roma follows Cleo (Yalitza Aparicio), a young domestic worker for a family in the middle-class neighborhood of Roma in Mexico City. Delivering an artful love letter to the women who raised him, Cuarón draws on his own childhood to create a vivid and emotional portrait of domestic strife and social hierarchy amidst political turmoil of the… Expand, Alfonso Cuarón, ['Drama'],  Not Rated,  135
Parasite, 2019, CJ Entertainment, 52, 96, 1770, 8.7, ['Andreas Fronk', 'Hyae Jin Chang', 'Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Kang Echae', 'Kang-ho Song', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seon-gyun Lee', 'So-dam Park', 'Woo-sik Choi', 'Yeo-Jeong Cho', 'Yeo-jeong Jo'], ['Named best picture at the 92nd Annual Academy Awards, where it led all films with four total wins.', 'Named best picture of 2019 by numerous groups including the Los Angeles Film Critics Association. See all awards and nominations...', "Winner of the Palme d'Or at the 2019 Cannes Film Festival."], Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the… Expand, Joon-ho Bong, ['Drama', 'Thriller', 'Comedy'],  Not Rated,  132
Ran, 1985, Orion Classics, 21, 96, 189, 8.4, ['Akira Terao', 'Daisuke Ryû', 'Jinpachi Nezu', 'Tatsuya Nakadai'], [], An adaptation of William Shakespeare’s King Lear, Ran considers the disastrous consequences of Lord Hidetora Ichimonji’s (Tatsuya Nakadai) decision to split his kingdom among his three sons., Akira Kurosawa, ['Action', 'Drama', 'War'],  R,  162
Summer of Soul (...Or, When the Revolution Could Not Be Televised), 2021, Searchlight Pictures, 38, 96, 48, 7.2, ['Abbey Lincoln', 'B.B. King', 'David Ruffin', 'Jesse Jackson', 'Mahalia Jackson', 'Max Roach', 'Moms Mabley', 'Nina Simone', 'Sal Masekela', 'Stevie Wonder'], ['Winner of the U.S. Grand Jury Prize (Documentary) and the U.S. Audience Award (Documentary) at the 2021 Sundance Film Festival.'], In 1969, during the same summer as Woodstock, a different music festival took place 100 miles away. More than 300,000 people attended the summer concert series known as the Harlem Cultural Festival. It was filmed, but after that summer, the footage sat in a basement for 50 years. It has never been seen. Until now. [Sundance], Ahmir-Khalib Thompson, ['Documentary'],  Not Rated,  117
The Shop Around the Corner, 1940, Metro-Goldwyn-Mayer (MGM), 15, 96, 23, 7.1, ['Edwin Maxwell', 'Felix Bressart', 'Frank Morgan', 'Inez Courtney', 'James Stewart', 'Joseph Schildkraut', 'Margaret Sullavan', 'Sara Haden', 'Sarah Edwards', 'William Tracy'], [], Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal., Ernst Lubitsch, ['Drama', 'Comedy', 'Romance'],  Passed,  99
12 Angry Men, 1957, United Artists, 10, 96, 616, 8.8, ['Henry Fonda', 'Lee J. Cobb'], [], 12 Angry Men, by Sidney Lumet, is a behind-closed-doors look at the American legal system. This iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that… Expand, Sidney Lumet, ['Drama', 'Crime'],  TV-PG,  96
Rosemary's Baby, 1968, Paramount Pictures, 15, 96, 245, 8.3, ['John Cassavetes', 'Mia Farrow'], [], A young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life., Roman Polanski, ['Drama', 'Horror'],  Approved,  137
12 Years a Slave, 2013, Fox Searchlight Pictures, 57, 96, 1619, 8.0, ['Alfre Woodard', 'Benedict Cumberbatch', 'Brad Pitt', 'Chiwetel Ejiofor', 'Garret Dillahunt', 'Michael Fassbender', 'Michael K. Williams', 'Paul Dano', 'Paul Giamatti', 'Sarah Paulson'], [], In the pre-Civil War United States, Solomon Northup, a free black man living in upstate New York, is abducted and sold into slavery., Steve McQueen, ['Biography', 'Drama', 'History'],  R,  134
