title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime 
The Damned United,2009,Sony Pictures Classics," October 9, 2009",7.7,"Set in 1960’s and 1970’s England, The Damned United tells the confrontational and darkly humorous story of Brian Clough’s doomed 44 day tenure as manager of the reigning champions of English football Leeds United. Previously managed by his bitter rival Don Revie, and on the back of their most successful period ever as a football club, Leeds… Expand",Tom Hooper,Biography,98
Georgia,1995,Miramax Films," December 8, 1995",8.4,Sadie (Leigh) seeks acceptance and fame from her sister Georgia (Winningham).,Ulu Grosbard,Drama,115
The Woman Who Ran,2021,Cinema Guild," July 9, 2021",7.5,"While her husband is on a business trip, Gamhee (Kim Minhee) has three separate encounters with friends. Youngsoon (Seo Youngwha) is divorced, has given up meat and likes to garden in her backyard. Suyoung (Song Seonmi) has a crush on her architect neighbor and is being hounded by a young poet she met at the bar. Woojin (Kim Saebyuk) works
… Expand",Sang-soo Hong,Drama,77
Duel,1971,American Broadcasting Company (ABC)," November 13, 1971",-1,A business commuter is pursued and terrorized by the malevolent driver of a massive tractor-trailer.,Steven Spielberg,Action,90
Mass,2021,Bleecker Street," October 8, 2021",7.7,"Years after an unspeakable tragedy tore their lives apart, two sets of parents (Reed Birney and Ann Dowd, Jason Isaacs and Martha Plimpton), agree to talk privately in an attempt to move forward.",Fran Kranz,Drama,110
Western,2018,Cinema Guild," February 16, 2018",7.3,"Western follows a group of German construction workers installing a hydroelectric plant in remote rural Bulgaria. The foreign land awakens the men’s sense of adventure, but tensions mount when, Meinhard, the strong, silent and newcomer to the group, starts mixing with the local villagers. The two sides speak different languages and share a… Expand",Valeska Grisebach,Drama,121
Wadjda,2013,Sony Pictures Classics," September 13, 2013",7.3,An enterprising Saudi girl signs up for her school's Koran recitation competition in hopes of raising the remaining funds she needs to buy a green bicycle she desperately wants.,Haifaa Al-Mansour,Drama,98
The Shawshank Redemption,1994,Columbia Pictures," September 1, 1994",9,"Wrongly convicted, Andy Dufresne (Tim Robbins) is sentenced to two consecutive life terms in in Maine's Shawshank prison for the murders of his wife and her lover. Set in the 1940's, the film shows how Andy learns to get by in the brutal confines of prison, even earning the respect of his fellow inmates, most notably the longtime convict… Expand",Frank Darabont,Drama,142
Fresh,1994,Miramax," September 2, 1994",6.3,"Death and violence anger a 12-year-old drug courier, who sets his employers against each other.",Boaz Yakin,Drama,114
This Much I Know to Be True,2022,Trafalgar Releasing," May 11, 2022",7.6,"Explores the creative relationship and songs from Nick Cave and Warren Ellis' last two studio albums, ""Ghosteen"" and ""Carnage"".",Andrew Dominik,Music,101
The Levelling,2017,Monterey Media," March 24, 2017",6.1,"Somerset, October 2014. When Clover Catto (Ellie Kendrick) receives a call telling her that her younger brother Charlie (Joe Blakemore) is dead, she must return to her family farm and face the man she hasn't spoken to in years: her father Aubrey (David Troughton). She is shocked to discover her home changed forever by the devastating floods… Expand",Hope Dickson Leach,Drama,83
Arrival,2016,Paramount Pictures," November 11, 2016",8.2,"When mysterious spacecraft touch down across the globe, an elite team is put together to investigate – including language expert Louise Banks (Amy Adams). Mankind teeters on the verge of global war as everyone scrambles for answers – and to find them, Banks will take a chance that could threaten her life, and quite possibly humanity.",Denis Villeneuve,Sci-Fi,116
Juno,2007,Fox Searchlight Pictures," December 5, 2007",8.2,"Juno, a whip-smart teen, confronts an unplanned pregnancy by her classmate Bleeker. With the help of her hot best friend, Leah, Juno finds her unborn child a ""perfect"" set of parents: an affluent suburban couple, Mark and Vanessa, longing to adopt. Luckily, Juno has the total support of her parents as she faces some tough decisions, flirts… Expand",Jason Reitman,Drama,96
Elena,2014,Syndicado," May 30, 2014",6.7,"Elena, a young Brazilian woman, travels to New York with dreams of becoming an actress. She leaves behind a childhood spent in hiding during the military dictatorship, and she leaves behind Petra, her seven-year-old sister. Two decades later, Petra goes to New York to pursue acting and in search of Elena. But the film (and the filmmaker)
… Expand",Petra Costa,Biography,80
Blue Valentine,2010,"Weinstein Company, The"," December 29, 2010",7,"Blue Valentine is the story of love found and love lost told in past and present moments in time. Flooded with romantic memories of their courtship, Dean and Cindy use one night to try and save their failing marriage. Ryan Gosling and Michelle Williams star in this honest portrait of a relationship on the rocks. (The Weinstein Company)",Derek Cianfrance,Drama,120
State Funeral,2021,MUBI,"Release Date (Streaming): May 7, 2021",-1,"Moscow, March 1953: in the days following the death of Joseph Stalin, countless citizens flooded the Red Square to mourn their leader’s loss and witness his burial. Though the procession was captured in detail by hundreds of cameramen, their footage has remained largely unseen until now.",Sergei Loznitsa,History,135
The Dissident,2020,Briarcliff Entertainment," December 25, 2020",7.8,"When Washington Post journalist Jamal Khashoggi disappears in Istanbul, his fiancée and dissidents around the world piece together the clues to a murder and expose a global cover up.",Bryan Fogel,Thriller,119
Truman,2017,FilmRise," April 7, 2017",7.8,"Diagnosed with terminal cancer, Julián (Ricardo Darin) has decided to forgo treatment, and spend his final days tying up loose ends. When childhood friend Tomás (Javier Cámara) pays his ailing friend an unexpected visit, he quickly realizes he won’t be able to change his mind. In what will be their final reunion, the two friends set out to… Expand",Cesc Gay,Drama,108
Master and Commander: The Far Side of the World,2003,Twentieth Century Fox Film Corporation," November 14, 2003",6.6,"Based on author Patrick O'Brian's series of Aubrey/Maturin novels, the film is set during the Napoleonic Wars. Crowe is Captain ""Lucky"" Jack Aubrey, renowned as a fighting captain in the British Navy, and Bettany is ship's doctor Stephen Maturin. Their ship, the H.M.S. Surprise, is suddenly attacked by a superior enemy. With the Surprise… Expand",Peter Weir,Action,138
Four Weddings and a Funeral,1994,Gramercy Pictures (I)," March 9, 1994",7.9,A confirmed British bachelor (Grant) meets the perfect woman (MacDowell) at a friend's wedding.,Mike Newell,Drama,117
The Trip to Bountiful,1986,Island Pictures," January 24, 1986",-1,"In 1940s Texas, an elderly woman is determined to visit her childhood home for one last time.",Peter Masterson,Drama,108
Serpico,1973,Paramount Pictures," December 5, 1973",8.5,Sidney Lumet's 1973 film stars Al Pacino as New York cop Frank Serpico.,Sidney Lumet,Biography,130
The Secret of Kells,2010,GKIDS," March 5, 2010",7.9,"Magic, fantasy, and Celtic mythology come together in a riot of color and detail that dazzle the eyes, in a sweeping story about the power of imagination and faith to carry humanity through dark times. Young Brendan lives in a remote medieval outpost under siege from barbarian raids. But a new life of adventure beckons when a celebrated… Expand",Nora Twomey,Adventure,75
Top Five,2014,Paramount Pictures," December 12, 2014",6.8,New York City comedian-turned-movie star Andre Allen (Chris Rock) tries to get his career back on track.,Chris Rock,Comedy,102
Pete Seeger: The Power of Song,2007,"Weinstein Company, The"," September 14, 2007",8.4,"Pete Seeger was the architect of the folk revival, writing some of its best known songs including ""Where Have All the Flowers Gone,” ""Turn, Turn, Turn” and ""If I Had A Hammer."" Largely misunderstood by his critics, including the US government, for his views on peace, unionism, civil rights and ecology, Seeger was targeted by the communist… Expand",Jim Brown,Music,93
Closet Monster,2016,Strand Releasing," September 23, 2016",7.6,"A fresh take on the coming-of-age story, this surreal tale follows the artistically driven Oscar (Connor Jessup) hovering on the brink of adulthood. Struggling to find his place in the world after a rough childhood and haunted by images of a tragic incident, Oscar dreams of escaping his small town. After he meets a mysterious and… Expand",Stephen Dunn,Drama,90
Katyn,2009,Koch Lorber Films," February 18, 2009",7.1,"In 1941, during their march on Moscow, the Nazis discovered the mass graves of 22,00 Polish intellectuals, clergy and officers. Katyn is the story of Joseph Stalin's order to execute these people.",Andrzej Wajda,Drama,121
Klute,1971,Warner Bros.," June 25, 1971",6.6,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,Alan J. Pakula,Mystery,114
Coming Home,2015,Sony Pictures Classics," September 9, 2015",7.1,"Lu Yanshi (Chen Daoming) and Feng Wanyu (Gong Li) are a devoted couple forced to separate when Lu is arrested and sent to a labor camp as a political prisoner, just as his wife is injured in an accident. Released during the last days of the Cultural Revolution, he finally returns home only to find that his beloved wife has amnesia and… Expand",Yimou Zhang,Drama,109
