title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime
Small Axe: Lovers Rock,2020,Amazon Prime Video,"Release Date (Streaming): November 27, 2020",5.9,"A single evening at a house party in 1980s West London sets the scene, developing intertwined relationships against a background of violence, romance and music.",Steve McQueen,Drama, 68
Toy Story,1995,Buena Vista Pictures," November 22, 1995",8.8,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences. [Pixar]",John Lasseter,Adventure, 81
The Bride of Frankenstein,1935,Universal Pictures," May 6, 1935",7.8,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",James Whale,Sci-Fi,75
Don't Look Now,1973,British Lion Film Corporation," December 9, 1973",6.8,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond.",Nicolas Roeg,Drama,110
Aftersun,2022,A24," October 21, 2022",7.8,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn’t.,Charlotte Wells,Drama,98
The Social Network,2010,Columbia Pictures," October 1, 2010",8.2,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg (Jesse Eisenberg) sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500… Expand",David Fincher,Biography,120
My Fair Lady,1964,Warner Bros.," December 25, 1964",7.4,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,George Cukor,Drama,170
Portrait of a Lady on Fire,2019,Alamode Film," December 6, 2019",8.6,"France, 1760. Marianne is commissioned to paint the wedding portrait of Héloïse, a young woman who has just left the convent. Because she is a reluctant bride-to-be, Marianne arrives under the guise of companionship, observing Héloïse by day and secretly painting her by firelight at night. As the two women orbit one another, intimacy and… Expand",Céline Sciamma,Drama,122
I Am Not Your Negro,2016,Magnolia Pictures," December 9, 2016",5.3,"Director Raoul Peck envisions the book James Baldwin never finished - a radical narration about race in America, using the writer’s original words. He draws upon James Baldwin’s notes on the lives and assassinations of Medgar Evers, Malcolm X, and Martin Luther King Jr to explore and bring a fresh and radical perspective to the current… Expand",Raoul Peck,Documentary,93
Woodstock,1970,Warner Bros.," March 26, 1970",-1,"It happened on a small farm in upstate New York, for three remarkable days of mud and happiness in 1969, when over half a million people came together to celebrate life, love, and music--Woodstock. One camera crew was there, in the middle of everything, recording the live performances of many of the greatest singers and musicians of the… Expand",Michael Wadleigh,History,184
Rocks,2021,Netflix,"Release Date (Streaming): February 1, 2021",6.5,A teenage girl suddenly finds herself struggling to take care of herself and her younger brother.,Sarah Gavron,Drama,93
Snow White and the Seven Dwarfs,1938,RKO Radio Pictures," February 4, 1938",8.2,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Ben Sharpsteen,Fantasy,83
